acct_id,is_college_pass,total_tickets,total_seats,unique_events,total_spent,avg_ticket_price,median_ticket_price,min_ticket_price,max_ticket_price,total_purchase_price,avg_purchase_price,fiscal_year,active_fy23,active_fy24,active_both_years,first_purchase_date,last_purchase_date,avg_days_before_event,median_days_before_event,min_days_before_event,max_days_before_event,ticket_type_distribution,ticket_type_distribution_fy23,ticket_type_distribution_fy24,source_distribution,age_first,gender_first,marital_status_first,education_first,zip_first,subscription_expected_events,subscription_actual_events,subscription_event_gap,subscription_utilization_pct,subscription_packages
101742,False,15,28,14,1568.0,104.53333333333332,120.0,39.0,198.0,823.0,54.86666666666667,"FY23, FY24",True,True,True,2022-04-07,2024-05-30,141.93333333333334,119.0,2.0,343.0,"{'Fixed Upgrade Subscription 6 Concert': 7, 'Fixed Established Subscription 6 Concert': 5, 'Single Ticket': 3}",{'Fixed Upgrade Subscription 6 Concert': 7},"{'Fixed Established Subscription 6 Concert': 5, 'Single Ticket': 3}",{'ASO Staff': 15},86.0,Male,Married,College,30327,12.0,11.0,1.0,0.9166666666666667,2.0
101984,False,6,8,2,648.0,108.0,51.0,51.0,222.0,426.0,71.0,"FY23, FY24",True,True,True,2022-11-04,2024-01-25,8.666666666666666,13.0,0.0,13.0,{'Single Ticket': 6},{'Single Ticket': 4},{'Single Ticket': 2},{'online': 6},66.0,Male,Married,College,301882003,,,,,
102050,False,12,24,12,857.0,71.41666666666667,69.5,68.0,94.0,428.5,35.708333333333336,"FY23, FY24",True,True,True,2022-05-01,2023-12-27,214.75,242.0,4.0,422.0,{'Fixed Established Subscription 6 Concert': 12},{'Fixed Established Subscription 6 Concert': 6},{'Fixed Established Subscription 6 Concert': 6},"{'online': 6, 'onlin': 4, 'ASO Staff': 2}",68.0,Male,Married,High School,30306-3329,12.0,12.0,0.0,1.0,1.0
102622,False,9,9,9,721.0,80.11111111111111,76.0,54.0,113.0,721.0,80.11111111111111,"FY23, FY24",True,True,True,2022-10-31,2024-03-11,115.11111111111111,80.0,12.0,276.0,"{'CYO Subscription': 7, 'Single Ticket': 2}","{'CYO Subscription': 3, 'Single Ticket': 1}","{'CYO Subscription': 4, 'Single Ticket': 1}",{'ASO Staff': 9},86.0,Male,Married,Graduate School,30327-4582,,,,,
102644,False,6,12,6,408.0,68.0,68.0,68.0,68.0,204.0,34.0,FY23,True,False,False,2022-04-29,2023-06-14,230.0,241.5,4.0,384.0,{'Fixed Established Subscription 6 Concert': 6},{'Fixed Established Subscription 6 Concert': 6},{},{'online': 6},76.0,Male,Married,High School,30084,6.0,6.0,0.0,1.0,1.0
102655,False,1,2,1,154.0,154.0,154.0,154.0,154.0,77.0,77.0,FY24,False,True,False,2024-02-27,2024-02-27,23.0,23.0,23.0,23.0,{'Single Ticket': 1},{},{'Single Ticket': 1},{'ASO Staff': 1},80.0,Male,Married,Graduate School,30305,,,,,
102776,False,1,2,1,152.0,152.0,152.0,152.0,152.0,76.0,76.0,FY24,False,True,False,2023-10-06,2023-10-06,1.0,1.0,1.0,1.0,{'Single Ticket': 1},{},{'Single Ticket': 1},{'ASO Staff': 1},76.0,Female,Married,College,30305,,,,,
102831,False,10,10,10,464.0,46.4,45.0,45.0,48.5,464.0,46.4,"FY23, FY24",True,True,True,2022-04-18,2023-04-20,239.9,251.5,3.0,433.0,"{'Fixed Established Subscription 6 Concert': 6, 'Fixed Established Subscription Sunday': 4}",{'Fixed Established Subscription 6 Concert': 6},{'Fixed Established Subscription Sunday': 4},{'ASO Staff': 10},86.0,Female,Married,Graduate School,30327,10.0,10.0,0.0,1.0,2.0
102941,False,33,64,25,6270.0,190.0,190.0,95.0,318.0,3230.0,97.87878787878788,"FY23, FY24",True,True,True,2022-03-31,2024-04-29,194.0,205.0,0.0,450.0,"{'Fixed Established Subscription 12 Concert': 24, 'Single Ticket': 9}","{'Fixed Established Subscription 12 Concert': 13, 'Single Ticket': 3}","{'Fixed Established Subscription 12 Concert': 11, 'Single Ticket': 6}","{'ASO Staff': 24, 'online': 6, 'onlin': 3}",64.0,Male,Married,,30327-2415,24.0,19.0,5.0,0.7916666666666667,1.0
103194,False,6,12,6,652.0,108.66666666666669,94.0,90.0,150.0,326.0,54.333333333333336,"FY23, FY24",True,True,True,2022-06-14,2023-05-26,206.66666666666663,172.0,85.0,399.0,"{'Fixed Established Subscription 6 Concert': 4, 'Single Ticket': 2}","{'Single Ticket': 2, 'Fixed Established Subscription 6 Concert': 1}",{'Fixed Established Subscription 6 Concert': 3},{'ASO Staff': 6},78.0,Male,Married,Graduate School,30327-2708,12.0,4.0,8.0,0.3333333333333333,1.0
103502,False,2,4,2,189.0,94.5,94.5,77.0,112.0,94.5,47.25,FY24,False,True,False,2024-04-26,2024-05-29,0.5,0.5,0.0,1.0,{'Single Ticket': 2},{},{'Single Ticket': 2},{'online': 2},84.0,Male,Married,College,30317-2416,,,,,
103601,False,5,9,4,431.0,86.2,92.5,61.0,92.5,246.0,49.2,FY23,True,False,False,2022-04-25,2022-09-29,233.6,230.0,10.0,419.0,"{'Fixed Established Subscription Sunday': 4, 'Single Ticket': 1}","{'Fixed Established Subscription Sunday': 4, 'Single Ticket': 1}",{},{'ASO Staff': 5},94.0,Female,Single,Graduate School,303053734,4.0,4.0,0.0,1.0,1.0
103733,False,1,8,1,448.0,448.0,448.0,448.0,448.0,56.0,56.0,FY24,False,True,False,2024-05-06,2024-05-06,5.0,5.0,5.0,5.0,{'Single Ticket': 1},{},{'Single Ticket': 1},{'ASO Staff': 1},90.0,Male,Married,Graduate School,30309-3563,,,,,
103832,False,2,4,2,192.0,96.0,96.0,90.0,102.0,96.0,48.0,"FY23, FY24",True,True,True,2022-12-19,2024-05-02,54.0,54.0,14.0,94.0,{'Single Ticket': 2},{'Single Ticket': 1},{'Single Ticket': 1},{'online': 2},50.0,Female,Married,Graduate School,30305-4109,,,,,
104052,False,1,1,1,35.0,35.0,35.0,35.0,35.0,35.0,35.0,FY23,True,False,False,2022-10-13,2022-10-13,1.0,1.0,1.0,1.0,{'Single Ticket': 1},{'Single Ticket': 1},{},{'online': 1},66.0,Male,Married,Graduate School,300302813,,,,,
104129,False,9,18,9,1474.0,163.77777777777777,143.0,108.0,318.0,737.0,81.88888888888889,"FY23, FY24",True,True,True,2022-05-26,2023-08-08,164.55555555555554,181.0,22.0,310.0,"{'Fixed Sophomore  Subscription Sunday': 4, 'CYO Subscription': 3, 'Single Ticket': 2}","{'Fixed Sophomore  Subscription Sunday': 4, 'Single Ticket': 1}","{'CYO Subscription': 3, 'Single Ticket': 1}",{'ASO Staff': 9},76.0,Female,Married,College,30067,4.0,4.0,0.0,1.0,1.0
104228,False,6,12,6,564.0,94.0,94.0,94.0,94.0,282.0,47.0,FY24,False,True,False,2023-06-13,2024-04-16,225.66666666666663,249.0,32.0,368.0,{'Fixed Established Subscription 6 Concert': 6},{},{'Fixed Established Subscription 6 Concert': 6},"{'onlin': 5, 'ASO Staff': 1}",66.0,Male,Single,College,30022-7538,6.0,6.0,0.0,1.0,1.0
105097,False,13,26,12,920.0,70.76923076923077,71.0,68.0,86.0,460.0,35.38461538461539,"FY23, FY24",True,True,True,2022-04-11,2024-05-07,184.0,200.0,4.0,396.0,"{'Fixed Established Subscription 6 Concert': 12, 'Single Ticket': 1}",{'Fixed Established Subscription 6 Concert': 6},"{'Fixed Established Subscription 6 Concert': 6, 'Single Ticket': 1}","{'ASO Staff': 8, 'onlin': 3, 'online': 2}",68.0,Female,Inferred Single,,30064-3077,12.0,12.0,0.0,1.0,1.0
105537,False,2,4,2,220.0,110.0,110.0,106.0,114.0,110.0,55.0,"FY23, FY24",True,True,True,2023-06-04,2024-02-13,27.0,27.0,14.0,40.0,{'Single Ticket': 2},{'Single Ticket': 1},{'Single Ticket': 1},{'online': 2},78.0,Female,Single,,30068,,,,,
105581,False,3,6,3,350.0,116.66666666666669,108.0,108.0,134.0,175.0,58.333333333333336,FY24,False,True,False,2023-07-26,2023-07-26,215.66666666666663,211.0,176.0,260.0,{'CYO Subscription': 3},{},{'CYO Subscription': 3},{'ASO Staff': 3},80.0,Female,Single,College,30290-9786,,,,,
106087,False,30,55,24,6067.0,202.23333333333332,205.0,75.0,636.0,3253.0,108.43333333333334,"FY23, FY24",True,True,True,2022-04-14,2024-05-23,214.63333333333333,226.5,1.0,454.0,"{'CYO Subscription': 22, 'Single Ticket': 7, 'Fixed Established Subscription 24 Concert': 1}","{'CYO Subscription': 12, 'Single Ticket': 2}","{'CYO Subscription': 10, 'Single Ticket': 5, 'Fixed Established Subscription 24 Concert': 1}","{'ASO Staff': 29, 'onlin': 1}",80.0,Male,Married,High School,30309-3336,24.0,1.0,23.0,0.041666666666666664,1.0
106582,False,1,3,1,207.0,207.0,207.0,207.0,207.0,69.0,69.0,FY24,False,True,False,2024-02-24,2024-02-24,1.0,1.0,1.0,1.0,{'Single Ticket': 1},{},{'Single Ticket': 1},{'online': 1},66.0,Male,Married,Graduate School,30350-3105,,,,,
106835,False,3,7,2,399.0,133.0,135.0,80.0,184.0,177.0,59.0,"FY23, FY24",True,True,True,2023-03-10,2024-02-24,9.0,7.0,0.0,20.0,{'Single Ticket': 3},{'Single Ticket': 2},{'Single Ticket': 1},{'online': 3},78.0,Male,Married,,303093336,,,,,
107132,False,1,2,1,80.0,80.0,80.0,80.0,80.0,40.0,40.0,FY23,True,False,False,2023-06-08,2023-06-08,10.0,10.0,10.0,10.0,{'Fixed Chorus Subscription 12 Concert': 1},{'Fixed Chorus Subscription 12 Concert': 1},{},{'ASO Staff': 1},70.0,Female,Married,Graduate School,30305,12.0,1.0,11.0,0.08333333333333333,1.0
107198,False,48,96,48,2226.0,46.375,44.0,44.0,158.0,1113.0,23.1875,"FY23, FY24",True,True,True,2022-04-22,2023-04-04,300.2916666666667,314.0,38.0,436.0,"{'Wheelchair': 47, 'Single Ticket': 1}",{'Wheelchair': 23},"{'Wheelchair': 24, 'Single Ticket': 1}",{'ASO Staff': 48},72.0,Male,Single,Graduate School,30548,,,,,
107429,False,1,2,1,132.0,132.0,132.0,132.0,132.0,66.0,66.0,FY24,False,True,False,2024-01-10,2024-01-10,24.0,24.0,24.0,24.0,{'Single Ticket': 1},{},{'Single Ticket': 1},{'online': 1},56.0,Female,Married,College,300301924,,,,,
107814,False,1,1,1,122.0,122.0,122.0,122.0,122.0,122.0,122.0,FY23,True,False,False,2022-10-03,2022-10-03,5.0,5.0,5.0,5.0,{'Single Ticket': 1},{'Single Ticket': 1},{},{'ASO Staff': 1},54.0,Male,Married,,30030,,,,,
108452,False,5,10,5,1146.0,229.2,218.0,144.0,318.0,573.0,114.6,"FY23, FY24",True,True,True,2022-09-19,2023-07-28,107.2,89.0,17.0,183.0,"{'CYO Subscription': 3, 'Single Ticket': 2}",{'Single Ticket': 1},"{'CYO Subscription': 3, 'Single Ticket': 1}","{'onlin': 3, 'online': 2}",58.0,Male,Single,High School,30309,,,,,
108474,False,3,6,3,198.0,66.0,66.0,66.0,66.0,99.0,33.0,FY23,True,False,False,2023-01-20,2023-01-20,74.66666666666667,62.0,14.0,148.0,{'Discounted CYO Subscription': 3},{'Discounted CYO Subscription': 3},{},{'online': 3},64.0,Male,Married,College,30305-1959,,,,,
108562,False,12,24,12,1104.0,92.0,92.0,90.0,94.0,552.0,46.0,"FY23, FY24",True,True,True,2022-04-29,2023-05-30,264.0,295.0,18.0,414.0,{'Fixed Established Subscription 6 Concert': 12},{'Fixed Established Subscription 6 Concert': 6},{'Fixed Established Subscription 6 Concert': 6},"{'ASO Staff': 8, 'online': 4}",56.0,Male,Married,College,30328-2161,12.0,12.0,0.0,1.0,1.0
108683,False,3,9,3,615.0,205.0,153.0,153.0,309.0,205.0,68.33333333333333,FY23,True,False,False,2022-08-22,2023-03-16,67.33333333333333,71.0,51.0,80.0,{'Single Ticket': 3},{'Single Ticket': 3},{},{'online': 3},86.0,Male,Single,Graduate School,37604-4112,,,,,
109112,False,12,24,12,810.0,67.5,67.5,66.0,69.0,405.0,33.75,"FY23, FY24",True,True,True,2022-04-15,2023-03-23,281.5,300.5,93.0,420.0,{'Fixed Established Subscription 6 Concert': 12},{'Fixed Established Subscription 6 Concert': 6},{'Fixed Established Subscription 6 Concert': 6},{'ASO Staff': 12},76.0,Male,Married,College,30307,12.0,12.0,0.0,1.0,1.0
109211,False,12,36,12,2088.0,174.0,174.0,168.0,180.0,696.0,58.0,"FY23, FY24",True,True,True,2022-04-20,2023-10-09,270.5,308.5,41.0,411.0,{'Fixed Established Subscription 6 Concert': 12},{'Fixed Established Subscription 6 Concert': 6},{'Fixed Established Subscription 6 Concert': 6},{'ASO Staff': 12},80.0,Female,Married,Graduate School,30329-3716,12.0,12.0,0.0,1.0,1.0
109453,False,12,25,12,2443.0,203.58333333333337,206.0,171.0,212.0,1193.0,99.41666666666669,"FY23, FY24",True,True,True,2022-04-12,2024-04-05,150.66666666666666,138.0,0.0,383.0,"{'Fixed Established Subscription 6 Concert': 11, 'Single Ticket': 1}",{'Fixed Established Subscription 6 Concert': 5},"{'Fixed Established Subscription 6 Concert': 6, 'Single Ticket': 1}","{'ASO Staff': 11, 'online': 1}",86.0,Male,Married,,30305-3677,12.0,11.0,1.0,0.9166666666666667,1.0
109948,False,15,31,14,1135.0,75.66666666666667,66.0,31.0,224.0,527.0,35.13333333333333,"FY23, FY24",True,True,True,2022-04-07,2024-04-13,155.2,45.0,0.0,426.0,"{'Fixed Established Subscription 6 Concert': 12, 'Single Ticket': 3}","{'Fixed Established Subscription 6 Concert': 6, 'Single Ticket': 1}","{'Fixed Established Subscription 6 Concert': 6, 'Single Ticket': 2}","{'online': 7, 'onlin': 7, 'ASO Staff': 1}",82.0,Female,Married,Graduate School,30309-2701,12.0,12.0,0.0,1.0,1.0
109959,False,5,8,4,362.0,72.4,78.0,39.0,128.0,220.0,44.0,"FY23, FY24",True,True,True,2023-05-06,2024-05-09,58.0,40.0,21.0,113.0,"{'Discounted CYO Subscription': 4, 'Single Ticket': 1}",{'Single Ticket': 1},{'Discounted CYO Subscription': 4},"{'ASO Staff': 4, 'online': 1}",74.0,Female,Single,College,30305,,,,,
109981,False,1,2,1,130.0,130.0,130.0,130.0,130.0,65.0,65.0,FY24,False,True,False,2024-02-10,2024-02-10,12.0,12.0,12.0,12.0,{'Single Ticket': 1},{},{'Single Ticket': 1},{'ASO Staff': 1},54.0,Male,Single,College,30087,,,,,
110091,False,13,30,13,2906.0,223.53846153846155,218.0,130.0,300.0,1309.0,100.6923076923077,"FY23, FY24",True,True,True,2022-03-31,2024-04-02,237.15384615384616,279.0,2.0,392.0,"{'CYO Subscription': 10, 'Single Ticket': 3}","{'CYO Subscription': 6, 'Single Ticket': 2}","{'CYO Subscription': 4, 'Single Ticket': 1}","{'ASO Staff': 7, 'online': 6}",86.0,Male,Married,Graduate School,30305,,,,,
110135,False,1,1,1,35.0,35.0,35.0,35.0,35.0,35.0,35.0,FY24,False,True,False,2023-11-04,2023-11-04,0.0,0.0,0.0,0.0,{'Single Ticket': 1},{},{'Single Ticket': 1},{'online': 1},64.0,Female,Single,High School,30350,,,,,
110234,False,14,26,13,1188.0,84.85714285714286,92.0,23.0,128.0,617.0,44.07142857142857,"FY23, FY24",True,True,True,2022-04-28,2024-01-29,178.92857142857142,133.0,3.0,437.0,"{'Fixed Established Subscription 6 Concert': 13, 'Single Ticket': 1}",{'Fixed Established Subscription 6 Concert': 7},"{'Fixed Established Subscription 6 Concert': 6, 'Single Ticket': 1}","{'onlin': 7, 'online': 6, 'ASO Staff': 1}",70.0,Female,Married,College,30324-5231,12.0,12.0,0.0,1.0,1.0
110256,False,25,50,24,2250.0,90.0,88.0,88.0,102.0,1125.0,45.0,"FY23, FY24",True,True,True,2022-04-12,2023-03-30,287.04,305.0,7.0,443.0,"{'Fixed Established Subscription 12 Concert': 18, 'Fixed Established Subscription 6 Concert': 6, 'Single Ticket': 1}","{'Fixed Established Subscription 12 Concert': 12, 'Single Ticket': 1}","{'Fixed Established Subscription 6 Concert': 6, 'Fixed Established Subscription 12 Concert': 6}","{'online': 13, 'onlin': 6, 'ASO Staff': 6}",40.0,Female,Married,College,30040-5115,30.0,24.0,6.0,0.8333333333333334,2.0
110751,False,5,9,5,295.0,59.0,61.5,40.0,70.5,167.5,33.5,FY24,False,True,False,2023-03-21,2024-04-11,81.0,58.0,6.0,243.0,"{'Fixed Freshman Subscription Sunday': 4, 'Single Ticket': 1}",{},"{'Fixed Freshman Subscription Sunday': 4, 'Single Ticket': 1}","{'onlin': 4, 'online': 1}",78.0,Male,Single,College,30002,4.0,4.0,0.0,1.0,1.0
111312,False,1,6,1,270.0,270.0,270.0,270.0,270.0,45.0,45.0,FY23,True,False,False,2022-11-29,2022-11-29,16.0,16.0,16.0,16.0,{'Single Ticket': 1},{'Single Ticket': 1},{},{'online': 1},74.0,Female,Single,Graduate School,30345-2120,,,,,
111543,False,1,2,1,140.0,140.0,140.0,140.0,140.0,70.0,70.0,FY23,True,False,False,2023-06-05,2023-06-05,12.0,12.0,12.0,12.0,{'Single Ticket': 1},{'Single Ticket': 1},{},{'ASO Staff': 1},84.0,Male,Married,Graduate School,30068-3770,,,,,
112247,False,13,26,13,1526.0,117.3846153846154,120.0,112.0,134.0,763.0,58.69230769230769,"FY23, FY24",True,True,True,2022-04-15,2023-03-18,327.6923076923077,343.0,183.0,448.0,"{'Fixed Established Subscription 6 Concert': 12, 'Single Ticket': 1}",{'Fixed Established Subscription 6 Concert': 6},"{'Fixed Established Subscription 6 Concert': 6, 'Single Ticket': 1}","{'onlin': 7, 'online': 6}",66.0,Female,Single,High School,30092,12.0,12.0,0.0,1.0,1.0
112313,False,55,57,53,1289.5,23.445454545454545,21.0,20.0,69.0,1246.5,22.663636363636364,"FY23, FY24",True,True,True,2022-05-25,2024-04-02,247.12727272727273,260.0,1.0,435.0,"{'Fixed Established Subscription 24 Concert': 47, 'Fixed Established Subscription Sunday': 4, 'Single Ticket': 3, 'Fixed Musician Subscription 24 Concert': 1}","{'Fixed Established Subscription 24 Concert': 23, 'Fixed Established Subscription Sunday': 4, 'Fixed Musician Subscription 24 Concert': 1, 'Single Ticket': 1}","{'Fixed Established Subscription 24 Concert': 24, 'Single Ticket': 2}","{'ASO Staff': 51, 'online': 2, 'onlin': 2}",82.0,Male,Married,High School,31029-2025,76.0,52.0,24.0,0.75,3.0
112346,False,1,1,1,125.0,125.0,125.0,125.0,125.0,125.0,125.0,FY24,False,True,False,2024-01-26,2024-01-26,57.0,57.0,57.0,57.0,{'Single Ticket': 1},{},{'Single Ticket': 1},{'ASO Staff': 1},64.0,Male,Single,College,30308-2354,,,,,
112830,False,2,2,2,135.0,67.5,67.5,66.0,69.0,135.0,67.5,FY24,False,True,False,2024-02-01,2024-02-17,53.0,53.0,52.0,54.0,{'Single Ticket': 2},{},{'Single Ticket': 2},{'online': 2},68.0,Female,Married,College,30309-3586,,,,,
112951,False,40,79,38,3693.0,92.325,94.5,54.0,250.0,1873.5,46.8375,"FY23, FY24",True,True,True,2022-04-21,2024-05-30,274.175,296.0,0.0,437.0,"{'Fixed Established Subscription 6 Concert': 18, 'Fixed Established Subscription 18 Concert': 18, 'Single Ticket': 4}","{'Fixed Established Subscription 6 Concert': 18, 'Single Ticket': 1}","{'Fixed Established Subscription 18 Concert': 18, 'Single Ticket': 3}","{'online': 20, 'ASO Staff': 20}",74.0,Male,Married,College,30306-3614,24.0,36.0,-12.0,2.0,2.0
113237,False,34,68,34,3380.0,99.41176470588236,86.0,80.0,204.0,1690.0,49.705882352941174,"FY23, FY24",True,True,True,2022-03-24,2023-03-17,306.1764705882353,307.5,91.0,454.0,"{'CYO Subscription': 32, 'Single Ticket': 2}","{'CYO Subscription': 16, 'Single Ticket': 1}","{'CYO Subscription': 16, 'Single Ticket': 1}",{'ASO Staff': 34},84.0,Male,Married,College,30305,,,,,
113468,False,15,31,15,1183.0,78.86666666666666,66.0,34.5,215.0,561.5,37.43333333333333,"FY23, FY24",True,True,True,2022-04-29,2024-04-11,235.26666666666668,265.0,7.0,443.0,"{'Fixed Established Subscription 6 Concert': 13, 'Single Ticket': 2}",{'Fixed Established Subscription 6 Concert': 6},"{'Fixed Established Subscription 6 Concert': 7, 'Single Ticket': 2}",{'ASO Staff': 15},86.0,Female,Single,Graduate School,30319,12.0,13.0,-1.0,1.0833333333333335,1.0
113853,False,6,6,6,252.0,42.0,42.0,42.0,42.0,252.0,42.0,FY24,False,True,False,2023-07-31,2024-06-13,99.16666666666669,51.0,2.0,262.0,"{'Fixed Sophomore Subscription 6 Concert': 4, 'Fixed Established Subscription 24 Concert': 1, 'Fixed Upgrade Subscription 6 Concert': 1}",{},"{'Fixed Sophomore Subscription 6 Concert': 4, 'Fixed Established Subscription 24 Concert': 1, 'Fixed Upgrade Subscription 6 Concert': 1}",{'ASO Staff': 6},86.0,Female,Married,College,30326,36.0,6.0,30.0,0.29166666666666663,3.0
113930,False,1,2,1,110.0,110.0,110.0,110.0,110.0,55.0,55.0,FY23,True,False,False,2022-07-17,2022-07-17,154.0,154.0,154.0,154.0,{'Single Ticket': 1},{'Single Ticket': 1},{},{'online': 1},66.0,Female,Single,High School,30328-5466,,,,,
114040,False,6,12,4,725.0,120.83333333333331,123.0,70.0,177.0,368.0,61.333333333333336,"FY23, FY24",True,True,True,2022-09-12,2024-04-09,13.666666666666666,14.0,2.0,24.0,{'Single Ticket': 6},{'Single Ticket': 4},{'Single Ticket': 2},"{'ASO Staff': 4, 'online': 2}",34.0,Male,Married,Graduate School,30338-4745,,,,,
114260,False,5,12,5,276.0,55.2,34.0,34.0,140.0,103.0,20.6,"FY23, FY24",True,True,True,2022-05-18,2023-09-26,228.0,207.0,74.0,396.0,"{'Fixed Freshman Subscription Sunday': 4, 'Single Ticket': 1}",{'Fixed Freshman Subscription Sunday': 4},{'Single Ticket': 1},{'online': 5},76.0,Male,Married,High School,30135-4236,4.0,4.0,0.0,1.0,1.0
114425,False,6,12,6,894.0,149.0,149.0,149.0,149.0,447.0,74.5,FY24,False,True,False,2023-08-14,2024-05-13,133.66666666666666,131.0,17.0,250.0,{'Fixed Lapsed Subscription 6 Concert': 6},{},{'Fixed Lapsed Subscription 6 Concert': 6},{'ASO Staff': 6},76.0,Male,Married,Graduate School,30328-3655,6.0,6.0,0.0,1.0,1.0
114557,False,20,26,16,1740.0,87.0,67.5,55.0,138.0,1332.0,66.6,"FY23, FY24",True,True,True,2022-04-28,2024-02-09,211.2,227.0,13.0,456.0,"{'Fixed Established Subscription 6 Concert': 18, 'Single Ticket': 2}","{'Fixed Established Subscription 6 Concert': 10, 'Single Ticket': 2}",{'Fixed Established Subscription 6 Concert': 8},"{'ASO Staff': 8, 'online': 7, 'onlin': 5}",68.0,Male,Married,Graduate School,30345,12.0,15.0,-3.0,1.25,1.0
114843,False,2,4,2,246.0,123.0,123.0,106.0,140.0,123.0,61.5,"FY23, FY24",True,True,True,2022-09-20,2024-04-22,21.0,21.0,16.0,26.0,{'Single Ticket': 2},{'Single Ticket': 1},{'Single Ticket': 1},{'ASO Staff': 2},82.0,Female,Single,,30305-2808,,,,,
