acct_id,category,attrib_name,attrib_value
101742,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,86
101984,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,66
101984,LA Group B: Household Demographics,HH Marital Status,Married
101984,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
101984,LA Group H: Education Demographics,Input Ind - Education,College
102050,LA Group B: Household Demographics,HH Marital Status,Married
102050,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,68
102050,LA Group H: Education Demographics,Input Ind - Education,High School
102050,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
102622,LA Group H: Education Demographics,Input Ind - Education,Graduate School
102622,LA Group B: Household Demographics,HH Marital Status,Married
102622,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,86
102622,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
102644,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
102644,LA Group H: Education Demographics,Input Ind - Education,High School
102644,LA Group B: Household Demographics,HH Marital Status,Married
102644,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,76
102831,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
102831,LA Group H: Education Demographics,Input Ind - Education,Graduate School
102831,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,86
102831,LA Group B: Household Demographics,HH Marital Status,Married
102941,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,64
102941,LA Group B: Household Demographics,HH Marital Status,Married
102941,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
103194,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,78
103194,LA Group H: Education Demographics,Input Ind - Education,Graduate School
103194,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
103194,LA Group B: Household Demographics,HH Marital Status,Married
103601,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,94
103601,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
103601,LA Group H: Education Demographics,Input Ind - Education,Graduate School
103601,LA Group B: Household Demographics,HH Marital Status,Single
103832,LA Group H: Education Demographics,Input Ind - Education,Graduate School
103832,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,50
103832,LA Group B: Household Demographics,HH Marital Status,Married
103832,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
104052,LA Group H: Education Demographics,Input Ind - Education,Graduate School
104052,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,66
104052,LA Group B: Household Demographics,HH Marital Status,Married
104052,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
104129,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
104129,LA Group H: Education Demographics,Input Ind - Education,College
104129,LA Group B: Household Demographics,HH Marital Status,Married
104129,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,76
105097,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,68
105097,LA Group B: Household Demographics,HH Marital Status,Inferred Single
105097,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
105537,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,78
105537,LA Group B: Household Demographics,HH Marital Status,Single
105537,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
106087,LA Group B: Household Demographics,HH Marital Status,Married
106087,LA Group H: Education Demographics,Input Ind - Education,High School
106087,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
106087,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,80
106835,LA Group B: Household Demographics,HH Marital Status,Married
106835,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,78
106835,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
107132,LA Group H: Education Demographics,Input Ind - Education,Graduate School
107132,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,70
107132,LA Group B: Household Demographics,HH Marital Status,Married
107132,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
107198,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
107198,LA Group H: Education Demographics,Input Ind - Education,Graduate School
107198,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,72
107198,LA Group B: Household Demographics,HH Marital Status,Single
107814,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,54
107814,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,56
107814,LA Group B: Household Demographics,HH Marital Status,Married
107814,LA Group B: Household Demographics,HH Marital Status,Married
107814,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
107814,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
108452,LA Group B: Household Demographics,HH Marital Status,Single
108452,LA Group H: Education Demographics,Input Ind - Education,High School
108452,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
108452,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,58
108474,LA Group H: Education Demographics,Input Ind - Education,College
108474,LA Group B: Household Demographics,HH Marital Status,Married
108474,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,64
108474,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
108562,LA Group H: Education Demographics,Input Ind - Education,College
108562,LA Group B: Household Demographics,HH Marital Status,Married
108562,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
108562,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,56
108683,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,86
108683,LA Group H: Education Demographics,Input Ind - Education,Graduate School
108683,LA Group B: Household Demographics,HH Marital Status,Single
108683,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
109112,LA Group H: Education Demographics,Input Ind - Education,College
109112,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
109112,LA Group B: Household Demographics,HH Marital Status,Married
109112,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,76
109211,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
109211,LA Group B: Household Demographics,HH Marital Status,Married
109211,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,80
109211,LA Group H: Education Demographics,Input Ind - Education,Graduate School
109453,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,86
109453,LA Group B: Household Demographics,HH Marital Status,Married
109453,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
109948,LA Group H: Education Demographics,Input Ind - Education,Graduate School
109948,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
109948,LA Group B: Household Demographics,HH Marital Status,Married
109948,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,82
109959,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,74
109959,LA Group H: Education Demographics,Input Ind - Education,College
109959,LA Group B: Household Demographics,HH Marital Status,Single
109959,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
110091,LA Group B: Household Demographics,HH Marital Status,Married
110091,LA Group B: Household Demographics,HH Marital Status,Married
110091,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
110091,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,86
110091,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,56
110091,LA Group H: Education Demographics,Input Ind - Education,Graduate School
110091,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
110234,LA Group H: Education Demographics,Input Ind - Education,College
110234,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
110234,LA Group B: Household Demographics,HH Marital Status,Married
110234,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,70
110256,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,40
110256,LA Group B: Household Demographics,HH Marital Status,Married
110256,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
110256,LA Group H: Education Demographics,Input Ind - Education,College
111312,LA Group B: Household Demographics,HH Marital Status,Single
111312,LA Group H: Education Demographics,Input Ind - Education,Graduate School
111312,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
111312,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,74
111543,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,84
111543,LA Group B: Household Demographics,HH Marital Status,Married
111543,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
111543,LA Group H: Education Demographics,Input Ind - Education,Graduate School
112247,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,66
112247,LA Group B: Household Demographics,HH Marital Status,Single
112247,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
112247,LA Group H: Education Demographics,Input Ind - Education,High School
112313,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
112313,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,82
112313,LA Group B: Household Demographics,HH Marital Status,Married
112313,LA Group H: Education Demographics,Input Ind - Education,High School
112951,LA Group H: Education Demographics,Input Ind - Education,College
112951,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,74
112951,LA Group B: Household Demographics,HH Marital Status,Married
112951,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
113237,LA Group H: Education Demographics,Input Ind - Education,College
113237,LA Group B: Household Demographics,HH Marital Status,Married
113237,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,84
113237,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
113468,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,86
113468,LA Group B: Household Demographics,HH Marital Status,Single
113468,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
113468,LA Group H: Education Demographics,Input Ind - Education,Graduate School
113930,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
113930,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,66
113930,LA Group B: Household Demographics,HH Marital Status,Single
113930,LA Group H: Education Demographics,Input Ind - Education,High School
114040,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,34
114040,LA Group H: Education Demographics,Input Ind - Education,Graduate School
114040,LA Group B: Household Demographics,HH Marital Status,Married
114040,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
114260,LA Group B: Household Demographics,HH Marital Status,Married
114260,LA Group H: Education Demographics,Input Ind - Education,High School
114260,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
114260,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,76
114557,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
114557,LA Group H: Education Demographics,Input Ind - Education,Graduate School
114557,LA Group B: Household Demographics,HH Marital Status,Married
114557,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,68
114843,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
114843,LA Group B: Household Demographics,HH Marital Status,Single
114843,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,82
115074,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,74
115074,LA Group B: Household Demographics,HH Marital Status,Single
115074,LA Group H: Education Demographics,Input Ind - Education,Graduate School
115074,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
115987,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
115987,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,99
115987,LA Group B: Household Demographics,HH Marital Status,Married
115987,LA Group H: Education Demographics,Input Ind - Education,Graduate School
116119,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
116119,LA Group H: Education Demographics,Input Ind - Education,Graduate School
116119,LA Group B: Household Demographics,HH Marital Status,Married
116119,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,82
116526,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,82
116526,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
116526,LA Group B: Household Demographics,HH Marital Status,Married
116526,LA Group H: Education Demographics,Input Ind - Education,Graduate School
116581,LA Group B: Household Demographics,HH Marital Status,Married
116581,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,74
116581,LA Group H: Education Demographics,Input Ind - Education,College
116581,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
116735,LA Group H: Education Demographics,Input Ind - Education,High School
116735,LA Group B: Household Demographics,HH Marital Status,Married
116735,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,50
116735,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
116856,LA Group B: Household Demographics,HH Marital Status,Married
116856,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
116856,LA Group H: Education Demographics,Input Ind - Education,Graduate School
116856,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,80
116999,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
116999,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,38
116999,LA Group B: Household Demographics,HH Marital Status,Married
116999,LA Group H: Education Demographics,Input Ind - Education,Graduate School
117131,LA Group H: Education Demographics,Input Ind - Education,College
117131,LA Group B: Household Demographics,HH Marital Status,Single
117131,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,88
117131,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
117164,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
117164,LA Group H: Education Demographics,Input Ind - Education,College
117164,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,76
117164,LA Group B: Household Demographics,HH Marital Status,Married
117263,LA Group H: Education Demographics,Input Ind - Education,High School
117263,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
117263,LA Group B: Household Demographics,HH Marital Status,Married
117263,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,36
117417,LA Group H: Education Demographics,Input Ind - Education,Graduate School
117417,LA Group B: Household Demographics,HH Marital Status,Single
117417,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
117417,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,72
117439,LA Group B: Household Demographics,HH Marital Status,Married
117439,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,78
117439,LA Group H: Education Demographics,Input Ind - Education,High School
117439,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
117725,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
117725,LA Group B: Household Demographics,HH Marital Status,Single
117725,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,58
117725,LA Group H: Education Demographics,Input Ind - Education,Graduate School
118330,LA Group H: Education Demographics,Input Ind - Education,Graduate School
118330,LA Group A: Gender/Age Demographics,1st Ind - Gender,Unknown
118330,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,76
118330,LA Group B: Household Demographics,HH Marital Status,Married
118616,LA Group B: Household Demographics,HH Marital Status,Married
118616,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
118616,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,50
118616,LA Group H: Education Demographics,Input Ind - Education,College
119045,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,68
119045,LA Group B: Household Demographics,HH Marital Status,Single
119045,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
119111,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
119111,LA Group B: Household Demographics,HH Marital Status,Married
119111,LA Group H: Education Demographics,Input Ind - Education,Graduate School
119111,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,76
119166,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,76
119166,LA Group B: Household Demographics,HH Marital Status,Married
119166,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
119166,LA Group H: Education Demographics,Input Ind - Education,College
119221,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
119221,LA Group B: Household Demographics,HH Marital Status,Married
119221,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,96
119221,LA Group H: Education Demographics,Input Ind - Education,College
119232,LA Group H: Education Demographics,Input Ind - Education,Graduate School
119232,LA Group B: Household Demographics,HH Marital Status,Single
119232,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,66
119232,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
119254,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
119254,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,74
119254,LA Group H: Education Demographics,Input Ind - Education,College
119254,LA Group B: Household Demographics,HH Marital Status,Married
119507,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
119507,LA Group B: Household Demographics,HH Marital Status,Married
119507,LA Group H: Education Demographics,Input Ind - Education,Graduate School
119507,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,78
119826,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,74
119826,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
119826,LA Group B: Household Demographics,HH Marital Status,Single
119826,LA Group H: Education Demographics,Input Ind - Education,Graduate School
119980,LA Group H: Education Demographics,Input Ind - Education,High School
119980,LA Group B: Household Demographics,HH Marital Status,Married
119980,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,54
119980,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
120156,LA Group H: Education Demographics,Input Ind - Education,Graduate School
120156,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
120156,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,30
120156,LA Group B: Household Demographics,HH Marital Status,Married
120519,LA Group B: Household Demographics,HH Marital Status,Single
120519,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
120519,LA Group H: Education Demographics,Input Ind - Education,Graduate School
120519,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,70
120530,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
120530,LA Group H: Education Demographics,Input Ind - Education,Graduate School
120530,LA Group B: Household Demographics,HH Marital Status,Married
120530,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,84
120541,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
120541,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
120541,LA Group B: Household Demographics,HH Marital Status,Married
120541,LA Group B: Household Demographics,HH Marital Status,Married
120541,LA Group H: Education Demographics,Input Ind - Education,Graduate School
120541,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,86
120541,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,86
120541,LA Group H: Education Demographics,Input Ind - Education,Graduate School
120629,LA Group B: Household Demographics,HH Marital Status,Single
120629,LA Group H: Education Demographics,Input Ind - Education,Graduate School
120629,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,68
120629,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
120838,LA Group B: Household Demographics,HH Marital Status,Single
120838,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
120838,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,66
121355,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,78
121355,LA Group B: Household Demographics,HH Marital Status,Single
121355,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
121432,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
121432,LA Group B: Household Demographics,HH Marital Status,Married
121432,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,72
121476,LA Group B: Household Demographics,HH Marital Status,Married
121476,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,86
121476,LA Group H: Education Demographics,Input Ind - Education,High School
121476,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
121652,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,70
121652,LA Group B: Household Demographics,HH Marital Status,Single
121652,LA Group H: Education Demographics,Input Ind - Education,High School
121652,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
121894,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
121894,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,86
121894,LA Group B: Household Demographics,HH Marital Status,Married
121894,LA Group H: Education Demographics,Input Ind - Education,Graduate School
121916,LA Group H: Education Demographics,Input Ind - Education,High School
121916,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
121916,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,82
121916,LA Group B: Household Demographics,HH Marital Status,Married
122125,LA Group B: Household Demographics,HH Marital Status,Married
122125,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
122125,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,78
123126,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,76
123126,LA Group B: Household Demographics,HH Marital Status,Single
123126,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
123423,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
123423,LA Group H: Education Demographics,Input Ind - Education,Graduate School
123423,LA Group B: Household Demographics,HH Marital Status,Married
123423,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,68
123489,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
123489,LA Group B: Household Demographics,HH Marital Status,Single
123489,LA Group H: Education Demographics,Input Ind - Education,Graduate School
123489,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,66
123742,LA Group H: Education Demographics,Input Ind - Education,Graduate School
123742,LA Group B: Household Demographics,HH Marital Status,Single
123742,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,72
123742,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
123819,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,90
123819,LA Group H: Education Demographics,Input Ind - Education,High School
123819,LA Group B: Household Demographics,HH Marital Status,Married
123819,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
124996,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
124996,LA Group H: Education Demographics,Input Ind - Education,High School
124996,LA Group B: Household Demographics,HH Marital Status,Married
124996,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,74
125062,LA Group B: Household Demographics,HH Marital Status,Married
125062,LA Group H: Education Demographics,Input Ind - Education,High School
125062,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
125062,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,84
125073,LA Group B: Household Demographics,HH Marital Status,Married
125073,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
125073,LA Group H: Education Demographics,Input Ind - Education,Graduate School
125073,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,92
125150,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
125150,LA Group B: Household Demographics,HH Marital Status,Married
125150,LA Group H: Education Demographics,Input Ind - Education,Graduate School
125150,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,88
125436,LA Group B: Household Demographics,HH Marital Status,Married
125436,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
125436,LA Group H: Education Demographics,Input Ind - Education,College
125436,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,62
125909,LA Group H: Education Demographics,Input Ind - Education,High School
125909,LA Group B: Household Demographics,HH Marital Status,Married
125909,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
125909,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,78
126041,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
126041,LA Group B: Household Demographics,HH Marital Status,Married
126041,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,76
126041,LA Group H: Education Demographics,Input Ind - Education,Graduate School
126228,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
126228,LA Group B: Household Demographics,HH Marital Status,Single
126228,LA Group H: Education Demographics,Input Ind - Education,Graduate School
126228,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,90
126712,LA Group B: Household Demographics,HH Marital Status,Married
126712,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
126712,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,52
126712,LA Group H: Education Demographics,Input Ind - Education,Graduate School
127526,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
127526,LA Group B: Household Demographics,HH Marital Status,Married
127526,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,66
127526,LA Group H: Education Demographics,Input Ind - Education,College
127944,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,90
127944,LA Group B: Household Demographics,HH Marital Status,Married
127944,LA Group H: Education Demographics,Input Ind - Education,Graduate School
127944,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
128076,LA Group H: Education Demographics,Input Ind - Education,College
128076,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
128076,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,86
128076,LA Group B: Household Demographics,HH Marital Status,Married
128967,LA Group B: Household Demographics,HH Marital Status,Married
128967,LA Group H: Education Demographics,Input Ind - Education,Graduate School
128967,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
128967,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,82
128978,LA Group H: Education Demographics,Input Ind - Education,College
128978,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,70
128978,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
128978,LA Group B: Household Demographics,HH Marital Status,Married
128978,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,72
128978,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
128978,LA Group H: Education Demographics,Input Ind - Education,College
128978,LA Group B: Household Demographics,HH Marital Status,Married
129099,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,96
